Ems_loss_v: 0.002554544	ST_loss: 19.550123215	LT_loss: 21.490322113	loss: 0.002595584
Ems_loss_v: 0.001755946	ST_loss: 24.467926025	LT_loss: 30.343839645	loss: 0.001810758
Ems_loss_v: 0.002311788	ST_loss: 17.183191299	LT_loss: 18.218921661	loss: 0.002347190
Ems_loss_v: 0.001717500	ST_loss: 26.389749527	LT_loss: 26.821748734	loss: 0.001770711
Ems_loss_v: 0.002049070	ST_loss: 28.683233261	LT_loss: 23.349311829	loss: 0.002101103
Ems_loss_v: 0.001784644	ST_loss: 30.870416641	LT_loss: 18.308423996	loss: 0.001833822
Ems_loss_v: 0.002467946	ST_loss: 20.878616333	LT_loss: 17.954336166	loss: 0.002506779
Ems_loss_v: 0.001886405	ST_loss: 21.396602631	LT_loss: 0.187782705	loss: 0.001907989
Ems_loss_v: 0.001459827	ST_loss: 27.403139114	LT_loss: 38.511447906	loss: 0.001525742
Ems_loss_v: 0.001872910	ST_loss: 16.920688629	LT_loss: 5.557013035	loss: 0.001895388
Ems_loss_v: 0.002134901	ST_loss: 22.068298340	LT_loss: 20.471052170	loss: 0.002177440
Ems_loss_v: 0.001699105	ST_loss: 24.868022919	LT_loss: 16.826465607	loss: 0.001740800
Ems_loss_v: 0.002131476	ST_loss: 28.596902847	LT_loss: 34.593933105	loss: 0.002194667
Ems_loss_v: 0.001429761	ST_loss: 28.951572418	LT_loss: 6.335813999	loss: 0.001465048
Ems_loss_v: 0.001704553	ST_loss: 29.527097702	LT_loss: 30.961009979	loss: 0.001765042
Ems_loss_v: 0.001651647	ST_loss: 23.617969513	LT_loss: 35.370353699	loss: 0.001710635
Ems_loss_v: 0.001582014	ST_loss: 34.238697052	LT_loss: 8.802431107	loss: 0.001625055
Ems_loss_v: 0.001750304	ST_loss: 22.292110443	LT_loss: 39.556537628	loss: 0.001812153
Ems_loss_v: 0.001948026	ST_loss: 21.411449432	LT_loss: 19.893829346	loss: 0.001989331
Ems_loss_v: 0.002395829	ST_loss: 23.336946487	LT_loss: 24.610589981	loss: 0.002443776
Ems_loss_v: 0.001457885	ST_loss: 20.806411743	LT_loss: 0.345789462	loss: 0.001479037
Ems_loss_v: 0.001950205	ST_loss: 27.653789520	LT_loss: 57.880199432	loss: 0.002035739
Ems_loss_v: 0.002424814	ST_loss: 23.979515076	LT_loss: 3.017329216	loss: 0.002451811
Ems_loss_v: 0.001841604	ST_loss: 30.356760025	LT_loss: 28.614850998	loss: 0.001900576
Ems_loss_v: 0.002104678	ST_loss: 29.103624344	LT_loss: 0.302851737	loss: 0.002134085
Ems_loss_v: 0.001985907	ST_loss: 27.022649765	LT_loss: 18.794122696	loss: 0.002031724
Ems_loss_v: 0.002407814	ST_loss: 30.339815140	LT_loss: 85.164009094	loss: 0.002523318
Ems_loss_v: 0.002604738	ST_loss: 22.476291656	LT_loss: 18.744352341	loss: 0.002645958
Ems_loss_v: 0.001257603	ST_loss: 31.406501770	LT_loss: 32.519676208	loss: 0.001321529
Ems_loss_v: 0.001839661	ST_loss: 22.267730713	LT_loss: 31.971445084	loss: 0.001893900
Ems_loss_v: 0.001978981	ST_loss: 21.984203339	LT_loss: 28.108081818	loss: 0.002029073
Ems_loss_v: 0.002528042	ST_loss: 26.145645142	LT_loss: 1.004089594	loss: 0.002555192
Ems_loss_v: 0.002722752	ST_loss: 23.633722305	LT_loss: 27.668060303	loss: 0.002774053
Ems_loss_v: 0.002040295	ST_loss: 17.771114349	LT_loss: 26.679943085	loss: 0.002084746
Ems_loss_v: 0.002347605	ST_loss: 21.844835281	LT_loss: 22.264886856	loss: 0.002391715
Ems_loss_v: 0.002089298	ST_loss: 25.615739822	LT_loss: 24.640968323	loss: 0.002139555
Ems_loss_v: 0.002030305	ST_loss: 42.395542145	LT_loss: 60.576450348	loss: 0.002133277
Ems_loss_v: 0.001940147	ST_loss: 30.409183502	LT_loss: 24.108087540	loss: 0.001994664
Ems_loss_v: 0.001935949	ST_loss: 28.001993179	LT_loss: 2.812869072	loss: 0.001966764
Ems_loss_v: 0.002226646	ST_loss: 26.592472076	LT_loss: 32.134376526	loss: 0.002285373
Ems_loss_v: 0.002037733	ST_loss: 17.810420990	LT_loss: 15.398580551	loss: 0.002070941
Ems_loss_v: 0.001407907	ST_loss: 28.541723251	LT_loss: 46.673656464	loss: 0.001483122
Ems_loss_v: 0.002195009	ST_loss: 18.960489273	LT_loss: 19.295951843	loss: 0.002233266
Ems_loss_v: 0.001875580	ST_loss: 26.227701187	LT_loss: 31.789869308	loss: 0.001933597
Ems_loss_v: 0.001721821	ST_loss: 26.795455933	LT_loss: 16.257316589	loss: 0.001764874
Ems_loss_v: 0.001797644	ST_loss: 30.996753693	LT_loss: 43.942070007	loss: 0.001872583
Ems_loss_v: 0.002067910	ST_loss: 25.991739273	LT_loss: 28.039674759	loss: 0.002121941
Ems_loss_v: 0.001801673	ST_loss: 18.579681396	LT_loss: 9.279533386	loss: 0.001829532
Ems_loss_v: 0.001957407	ST_loss: 16.669668198	LT_loss: 13.362965584	loss: 0.001987440
Ems_loss_v: 0.002077036	ST_loss: 22.508438110	LT_loss: 53.541542053	loss: 0.002153086
Ems_loss_v: 0.002016600	ST_loss: 23.148590088	LT_loss: 18.988838196	loss: 0.002058737
Ems_loss_v: 0.001885803	ST_loss: 20.320335388	LT_loss: 16.809059143	loss: 0.001922933
Ems_loss_v: 0.001629044	ST_loss: 26.432226181	LT_loss: 0.338506401	loss: 0.001655814
Ems_loss_v: 0.002198725	ST_loss: 21.633180618	LT_loss: 21.449413300	loss: 0.002241808
Ems_loss_v: 0.001942629	ST_loss: 24.761692047	LT_loss: 27.650146484	loss: 0.001995041
Ems_loss_v: 0.001613347	ST_loss: 22.011198044	LT_loss: 32.375873566	loss: 0.001667734
Ems_loss_v: 0.002276355	ST_loss: 26.619846344	LT_loss: 22.899772644	loss: 0.002325875
Ems_loss_v: 0.001648733	ST_loss: 20.385286331	LT_loss: 34.636451721	loss: 0.001703754
Ems_loss_v: 0.002028253	ST_loss: 31.112762451	LT_loss: 3.815818787	loss: 0.002063181
Ems_loss_v: 0.002267326	ST_loss: 23.827676773	LT_loss: 18.039392471	loss: 0.002309193
Ems_loss_v: 0.001638823	ST_loss: 30.567615509	LT_loss: 40.023708344	loss: 0.001709414
Ems_loss_v: 0.001750119	ST_loss: 24.498012543	LT_loss: 25.371185303	loss: 0.001799989
Ems_loss_v: 0.001774125	ST_loss: 30.496517181	LT_loss: 42.447956085	loss: 0.001847070
Ems_loss_v: 0.001735046	ST_loss: 16.996515274	LT_loss: 28.114789963	loss: 0.001780157
Ems_loss_v: 0.001818454	ST_loss: 27.695104599	LT_loss: 20.702486038	loss: 0.001866852
Ems_loss_v: 0.001647245	ST_loss: 24.209310532	LT_loss: 27.232130051	loss: 0.001698687
Ems_loss_v: 0.002270872	ST_loss: 23.074085236	LT_loss: 0.181952238	loss: 0.002294127
Ems_loss_v: 0.002051013	ST_loss: 30.692615509	LT_loss: 24.389284134	loss: 0.002106095
Ems_loss_v: 0.001638588	ST_loss: 21.294561386	LT_loss: 24.925449371	loss: 0.001684808
Ems_loss_v: 0.001594062	ST_loss: 19.411069870	LT_loss: 0.071568169	loss: 0.001613545
Ems_loss_v: 0.002005897	ST_loss: 19.717678070	LT_loss: 5.325726509	loss: 0.002030940
Ems_loss_v: 0.002169776	ST_loss: 22.658597946	LT_loss: 23.594947815	loss: 0.002216030
Ems_loss_v: 0.001380105	ST_loss: 22.765174866	LT_loss: 3.697508574	loss: 0.001406568
Ems_loss_v: 0.001874803	ST_loss: 21.510814667	LT_loss: 20.238224030	loss: 0.001916552
Ems_loss_v: 0.002023332	ST_loss: 35.119510651	LT_loss: 32.095977783	loss: 0.002090548
Ems_loss_v: 0.001820771	ST_loss: 24.287685394	LT_loss: 17.666219711	loss: 0.001862725
Ems_loss_v: 0.002151052	ST_loss: 29.216394424	LT_loss: 24.048257828	loss: 0.002204317
Ems_loss_v: 0.001884205	ST_loss: 23.033357620	LT_loss: 3.972994566	loss: 0.001911211
Ems_loss_v: 0.001905752	ST_loss: 30.653812408	LT_loss: 25.876480103	loss: 0.001962283
Ems_loss_v: 0.002163917	ST_loss: 18.783021927	LT_loss: 36.791801453	loss: 0.002219492
Ems_loss_v: 0.002171072	ST_loss: 33.098587036	LT_loss: 7.957498550	loss: 0.002212128
Ems_loss_v: 0.001907510	ST_loss: 23.625078201	LT_loss: 0.303657979	loss: 0.001931439
Ems_loss_v: 0.001976875	ST_loss: 26.668739319	LT_loss: 25.471424103	loss: 0.002029015
Ems_loss_v: 0.002629345	ST_loss: 22.423385620	LT_loss: 28.684125900	loss: 0.002680453
Ems_loss_v: 0.001670970	ST_loss: 28.079526901	LT_loss: 17.557611465	loss: 0.001716607
Ems_loss_v: 0.001630210	ST_loss: 22.687137604	LT_loss: 20.597564697	loss: 0.001673495
Ems_loss_v: 0.001894540	ST_loss: 25.776002884	LT_loss: 27.665489197	loss: 0.001947982
Ems_loss_v: 0.002172529	ST_loss: 27.020315170	LT_loss: 38.756179810	loss: 0.002238306
Ems_loss_v: 0.002100198	ST_loss: 29.562837601	LT_loss: 21.207221985	loss: 0.002150968
Ems_loss_v: 0.001663791	ST_loss: 19.974527359	LT_loss: 4.921214104	loss: 0.001688687
Ems_loss_v: 0.002494661	ST_loss: 21.425882339	LT_loss: 17.036228180	loss: 0.002533123
Ems_loss_v: 0.001382917	ST_loss: 14.695959091	LT_loss: 20.946983337	loss: 0.001418560
Ems_loss_v: 0.002031230	ST_loss: 29.306720734	LT_loss: 23.194602966	loss: 0.002083732
Ems_loss_v: 0.001831092	ST_loss: 17.456384659	LT_loss: 13.255166054	loss: 0.001861804
Ems_loss_v: 0.001878374	ST_loss: 23.620018005	LT_loss: 15.225884438	loss: 0.001917219
Ems_loss_v: 0.002189369	ST_loss: 20.293329239	LT_loss: 7.571491241	loss: 0.002217234
Ems_loss_v: 0.002608140	ST_loss: 19.168664932	LT_loss: 33.023250580	loss: 0.002660332
Ems_loss_v: 0.002648000	ST_loss: 22.622650146	LT_loss: 21.551132202	loss: 0.002692173
Ems_loss_v: 0.002686436	ST_loss: 25.966953278	LT_loss: 5.035796165	loss: 0.002717439
Ems_loss_v: 0.002015372	ST_loss: 14.809560776	LT_loss: 0.225605160	loss: 0.002030407
Ems_loss_v: 0.002828750	ST_loss: 23.091793060	LT_loss: 29.375738144	loss: 0.002881217
Ems_loss_v: 0.001766732	ST_loss: 22.291002274	LT_loss: 24.613088608	loss: 0.001813636
Ems_loss_v: 0.001689988	ST_loss: 26.219583511	LT_loss: 19.287261963	loss: 0.001735495
Ems_loss_v: 0.001895471	ST_loss: 26.638137817	LT_loss: 22.143522263	loss: 0.001944253
Ems_loss_v: 0.002259335	ST_loss: 25.136608124	LT_loss: 28.255289078	loss: 0.002312727
Ems_loss_v: 0.002001360	ST_loss: 27.461883545	LT_loss: 6.207681179	loss: 0.002035029
Ems_loss_v: 0.002153843	ST_loss: 16.946813583	LT_loss: 16.001466751	loss: 0.002186792
Ems_loss_v: 0.002248741	ST_loss: 22.091480255	LT_loss: 24.778732300	loss: 0.002295611
Ems_loss_v: 0.002164284	ST_loss: 18.445495605	LT_loss: 15.884752274	loss: 0.002198615
Ems_loss_v: 0.001877978	ST_loss: 23.009552002	LT_loss: 0.287274510	loss: 0.001901275
Ems_loss_v: 0.002118347	ST_loss: 25.213485718	LT_loss: 24.111473083	loss: 0.002167671
Ems_loss_v: 0.002143781	ST_loss: 22.263032913	LT_loss: 25.010519028	loss: 0.002191055
Ems_loss_v: 0.002298646	ST_loss: 29.803956985	LT_loss: 30.371101379	loss: 0.002358821
Ems_loss_v: 0.001949226	ST_loss: 13.024117470	LT_loss: 13.427413940	loss: 0.001975677
Ems_loss_v: 0.002233791	ST_loss: 25.441051483	LT_loss: 38.633354187	loss: 0.002297865
Ems_loss_v: 0.001778907	ST_loss: 24.786180496	LT_loss: 38.961822510	loss: 0.001842655
